Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2021 [YR2021]
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Afghanistan,AFG,22.04289675,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Albania,ALB,18.42947925,17.68324999
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Algeria,DZA,11.87420085,12.29601339
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,American Samoa,ASM,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Andorra,AND,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Angola,AGO,8.607741802,9.016303595
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Antigua and Barbuda,ATG,1.735911717,2.16286845
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Argentina,ARG,4.537878897,6.86985631
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Armenia,ARM,13.94231166,11.10929141
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Aruba,ABW,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Australia,AUS,2.457803973,2.267623282
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Austria,AUT,1.130155508,1.095853754
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Azerbaijan,AZE,5.212505619,5.876626279
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"Bahamas, The",BHS,0.681258722,0.489802473
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Bahrain,BHR,0.288059552,0.282221554
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Bangladesh,BGD,12.48007719,11.63285843
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Barbados,BRB,1.435875635,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Belarus,BLR,6.590107726,6.803809348
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Belgium,BEL,0.602988491,0.585160477
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Belize,BLZ,9.561592754,11.36965806
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Benin,BEN,28.06477391,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Bermuda,BMU,0.234985525,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Bhutan,BTN,15.99124824,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Bolivia,BOL,11.48192415,12.92225272
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Bosnia and Herzegovina,BIH,5.88543546,5.692245283
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Botswana,BWA,2.055350722,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Brazil,BRA,4.420399304,6.891283292
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,British Virgin Islands,VGB,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Brunei Darussalam,BRN,1.017623081,1.256289974
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Bulgaria,BGR,3.384615452,3.72867282
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Burkina Faso,BFA,20.99747328,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Burundi,BDI,29.01190049,28.66021865
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Cabo Verde,CPV,5.291984295,4.409768718
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Cambodia,KHM,22.0129559,22.84750006
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Cameroon,CMR,16.4988007,17.24972296
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Canada,CAN,1.699891576,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Cayman Islands,CYM,0.408587438,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Central African Republic,CAF,31.24133151,30.06692139
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Chad,TCD,45.09623634,53.98852574
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Channel Islands,CHI,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Chile,CHL,3.927435925,3.284870411
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,China,CHN,7.043020253,7.264816057
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Colombia,COL,6.22570969,7.391630702
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Comoros,COM,33.72015306,36.40212145
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"Congo, Dem. Rep.",COD,18.88734319,19.43382849
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"Congo, Rep.",COG,6.909114704,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Costa Rica,CRI,4.483828337,4.454211873
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Cote d'Ivoire,CIV,20.54857036,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Croatia,HRV,2.95709187,3.131342544
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Cuba,CUB,3.783108446,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Curacao,CUW,0.154194893,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Cyprus,CYP,1.733539855,1.769754274
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Czech Republic,CZE,1.936644875,1.953948546
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Denmark,DNK,1.026569351,0.96719254
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Djibouti,DJI,1.416710012,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Dominica,DMA,11.02357999,17.31572052
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Dominican Republic,DOM,5.147782819,5.665782146
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Ecuador,ECU,8.949269523,9.414287639
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"Egypt, Arab Rep.",EGY,11.22500023,11.83150585
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,El Salvador,SLV,5.13276853,4.917120612
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Equatorial Guinea,GNQ,2.257979677,2.630473918
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Eritrea,ERI,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Estonia,EST,2.221009358,2.143330303
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Ethiopia,ETH,31.21880078,37.57383326
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Faroe Islands,FRO,16.36082048,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Fiji,FJI,10.90656483,13.81508704
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Finland,FIN,2.386622578,2.384811848
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,France,FRA,1.648876616,1.631492147
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,French Polynesia,PYF,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Gabon,GAB,5.435952803,6.313037611
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"Gambia, The",GMB,19.87159618,19.69990523
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Georgia,GEO,6.762198595,6.115724871
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Germany,DEU,0.689013201,0.800281184
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Ghana,GHA,18.13655055,19.70877538
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Gibraltar,GIB,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Greece,GRC,3.635408491,3.897399833
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Greenland,GRL,18.4301491,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Grenada,GRD,5.205454409,5.132262921
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Guam,GUM,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Guatemala,GTM,9.455204935,9.911505398
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Guinea,GIN,22.32593095,25.50017523
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Guinea-Bissau,GNB,30.72370337,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Guyana,GUY,19.53579387,6.786757919
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Haiti,HTI,18.64785769,20.61528579
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Honduras,HND,11.61016046,11.04084777
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"Hong Kong SAR, China",HKG,0.062142272,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Hungary,HUN,3.485911692,3.322534757
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Iceland,ISL,3.922777196,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,India,IND,16.03163069,16.76676208
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Indonesia,IDN,12.80849756,13.28068349
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"Iran, Islamic Rep.",IRN,11.2190019,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Iraq,IRQ,2.815817643,3.951976254
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Ireland,IRL,0.888696523,0.991685511
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Isle of Man,IMN,0.410935899,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Israel,ISR,1.191049725,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Italy,ITA,1.945420074,1.957591948
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Jamaica,JAM,6.592227603,8.845638074
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Japan,JPN,1.044412143,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Jordan,JOR,4.840442165,5.245462753
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Kazakhstan,KAZ,4.395858103,5.1069904
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Kenya,KEN,20.31491042,22.42824552
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Kiribati,KIR,29.74428389,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"Korea, Dem. People's Rep.",PRK,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"Korea, Rep.",KOR,1.746403394,1.838554543
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Kosovo,XKX,6.531164333,7.032063108
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Kuwait,KWT,0.447338717,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Kyrgyz Republic,KGZ,11.67528648,14.68220724
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Lao PDR,LAO,15.70918682,16.06769702
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Latvia,LVA,3.593805161,4.039324528
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Lebanon,LBN,3.231897283,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Lesotho,LSO,4.32156306,4.902083537
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Liberia,LBR,35.49669991,37.20565974
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Libya,LBY,3.66012922,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Liechtenstein,LIE,0.139045931,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Lithuania,LTU,2.879630172,3.304976258
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Luxembourg,LUX,0.233119379,0.187097935
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"Macao SAR, China",MAC,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,North Macedonia,MKD,8.47039847,7.619887755
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Madagascar,MDG,24.229804,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Malawi,MWI,21.62943584,22.73014986
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Malaysia,MYS,7.512089533,9.613242997
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Maldives,MDV,5.235853287,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Mali,MLI,37.61244316,36.00032306
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Malta,MLT,0.69635926,0.406681285
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Marshall Islands,MHL,16.52844524,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Mauritania,MRT,23.33066332,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Mauritius,MUS,2.78458866,3.755483752
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Mexico,MEX,3.383800383,3.843993581
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"Micronesia, Fed. Sts.",FSM,22.51219919,22.48549735
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Moldova,MDA,10.27091935,10.38524775
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Monaco,MCO,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Mongolia,MNG,11.42800452,13.19136534
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Montenegro,MNE,6.732237789,6.31341594
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Morocco,MAR,12.21673615,12.64626005
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Mozambique,MOZ,24.56767288,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Myanmar,MMR,23.0027856,23.45938325
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Namibia,NAM,7.768297709,9.396955441
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Nauru,NRU,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Nepal,NPL,22.33467205,21.31988975
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Netherlands,NLD,1.650673719,1.571012142
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,New Caledonia,NCL,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,New Zealand,NZL,5.662576267,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Nicaragua,NIC,15.32185855,15.48477028
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Niger,NER,37.66166253,36.37185669
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Nigeria,NGA,21.20377372,23.35705876
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Northern Mariana Islands,MNP,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Norway,NOR,1.862995582,1.588076061
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Oman,OMN,1.849420191,2.379181354
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Pakistan,PAK,21.65123536,22.96446566
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Palau,PLW,3.512469266,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Panama,PAN,2.248462473,2.598862809
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Papua New Guinea,PNG,16.97383552,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Paraguay,PRY,10.25270136,10.11400209
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Peru,PER,6.885842851,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Philippines,PHL,9.650140358,10.06845672
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Poland,POL,2.338426296,2.370282897
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Portugal,PRT,2.036529883,2.192753181
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Puerto Rico,PRI,0.708149616,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Qatar,QAT,0.218257646,0.298507449
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Romania,ROU,4.331834131,4.349701447
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Russian Federation,RUS,3.394253381,3.802969241
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Rwanda,RWA,24.61187117,24.06210502
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Samoa,WSM,9.746916002,10.54838963
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,San Marino,SMR,0.016408544,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Sao Tome and Principe,STP,11.11538307,14.94635407
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Saudi Arabia,SAU,2.138785646,2.311474089
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Senegal,SEN,14.98824785,15.32368028
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Serbia,SRB,6.342783371,6.53011447
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Seychelles,SYC,2.60511622,2.243015759
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Sierra Leone,SLE,58.93440965,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Singapore,SGP,0.030128117,0.033580081
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Sint Maarten (Dutch part),SXM,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Slovak Republic,SVK,2.149858483,1.773531201
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Slovenia,SVN,2.245548597,1.844594729
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Solomon Islands,SLB,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Somalia,SOM,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,South Africa,ZAF,2.275252101,2.430720296
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,South Sudan,SSD,9.058395931,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Spain,ESP,2.757594167,2.728073138
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Sri Lanka,LKA,8.023787716,9.010238248
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,St. Kitts and Nevis,KNA,1.086551185,1.555618994
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,St. Lucia,LCA,1.782177142,1.866650236
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,St. Martin (French part),MAF,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,St. Vincent and the Grenadines,VCT,7.109394349,6.458151569
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Sudan,SDN,21.99347316,6.357092128
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Suriname,SUR,10.03286165,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Eswatini,SWZ,8.526884647,8.930399866
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Sweden,SWE,1.392786621,1.346970033
